,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
308,2020-04-10,10,4,2020,94,30,Algeria,DZ,DZA,42228429.0,Africa
309,2020-04-09,9,4,2020,104,12,Algeria,DZ,DZA,42228429.0,Africa
310,2020-04-08,8,4,2020,45,20,Algeria,DZ,DZA,42228429.0,Africa
311,2020-04-07,7,4,2020,103,21,Algeria,DZ,DZA,42228429.0,Africa
312,2020-04-06,6,4,2020,69,22,Algeria,DZ,DZA,42228429.0,Africa
313,2020-04-05,5,4,2020,80,25,Algeria,DZ,DZA,42228429.0,Africa
314,2020-04-04,4,4,2020,185,42,Algeria,DZ,DZA,42228429.0,Africa
315,2020-04-03,3,4,2020,139,5,Algeria,DZ,DZA,42228429.0,Africa
316,2020-04-02,2,4,2020,131,14,Algeria,DZ,DZA,42228429.0,Africa
317,2020-04-01,1,4,2020,132,9,Algeria,DZ,DZA,42228429.0,Africa
318,2020-03-31,31,3,2020,73,4,Algeria,DZ,DZA,42228429.0,Africa
